,price,bathrooms,sqft_living,grade,sqft_living15
86,305000.0,2.25,2660,7,1590
87,461000.0,3.25,2770,9,1900
88,215000.0,2.25,1610,7,1950
89,335000.0,1.75,1030,7,1030
90,243500.0,2.5,1980,7,1980
91,1099880.0,2.75,3520,10,2520
92,153000.0,1.0,1200,7,1350
93,430000.0,1.5,1580,8,1570
94,700000.0,1.5,1580,8,1570
95,905000.0,2.5,3300,7,1950
96,247500.0,1.75,1960,7,1750
97,199000.0,1.5,1160,7,1160
98,314000.0,1.75,1810,7,1650
99,437500.0,2.5,2320,9,2550
100,850830.0,2.5,2070,9,2200
101,555000.0,2.0,1980,7,1610
102,699950.0,2.25,2190,8,2570
103,1088000.0,2.5,2920,8,2370
104,290000.0,1.0,1210,7,1640
105,375000.0,2.5,2340,8,2250
106,460000.0,1.0,1670,7,1240
107,188500.0,1.75,1240,8,1270
108,680000.0,2.5,3140,10,2990
109,470000.0,1.75,2030,7,2500
110,597750.0,2.5,2310,8,1940
111,570000.0,1.75,1260,6,1380
112,272500.0,1.75,1540,7,1540
113,329950.0,1.75,2080,7,2090
114,480000.0,2.5,3230,9,2640
115,740500.0,3.5,4380,8,1830
116,518500.0,3.5,1590,8,1620
117,205425.0,1.0,880,6,1190
118,171800.0,2.0,1570,6,1880
119,535000.0,1.0,1610,7,1610
120,660000.0,2.5,2400,8,2340
121,391500.0,2.0,1450,7,1580
122,395000.0,1.0,770,6,1710
123,445000.0,1.75,2100,7,1850
124,770000.0,2.25,2910,9,2700
125,1450000.0,2.75,2750,8,3060
126,445000.0,2.25,2100,8,2660
127,260000.0,2.25,2160,8,2090
128,822500.0,3.5,2320,7,1700
129,430000.0,2.5,2070,7,1970
130,212000.0,1.75,1060,7,1420
131,660500.0,2.25,2010,8,2060
132,784000.0,3.5,3950,9,2480
133,453246.0,2.5,2010,8,1690
134,675000.0,3.5,2140,9,1540
135,199000.0,1.75,1320,7,1550
136,220000.0,1.75,2020,7,1750
137,452000.0,2.25,2590,8,1550
138,382500.0,1.0,1190,6,1060
139,519950.0,2.25,1170,8,1350
140,665000.0,1.0,1110,7,1170
141,527700.0,2.5,2820,8,2820
142,205000.0,1.0,1610,7,1610
143,420000.0,1.0,1060,7,1560
144,500000.0,2.25,2030,8,2230
145,921500.0,2.5,3670,9,2840
146,890000.0,1.0,2550,8,2200
147,430000.0,2.5,2420,7,1940
148,258000.0,2.0,2260,8,1360
149,511000.0,1.0,1430,7,1450
150,532170.0,2.0,1360,8,1500
151,560000.0,1.0,1110,7,1420
152,282950.0,1.0,1250,7,1680
153,2250000.0,3.25,5180,12,3160
154,350000.0,1.0,700,7,1010
155,215000.0,1.0,1180,7,1190
156,650000.0,3.5,3960,9,2640
157,320000.0,2.75,2640,8,1980
158,247000.0,2.0,1270,7,1160
159,320000.0,1.75,1760,8,1730
160,255000.0,2.25,2060,7,1010
161,438000.0,1.75,1780,7,1200
162,900000.0,2.5,3400,10,3400
163,441000.0,2.75,1910,7,1710
164,420000.0,2.0,2020,7,2110
165,370000.0,1.75,1580,7,1640
166,269950.0,1.75,1340,5,1830
167,807100.0,2.5,2680,9,2920
168,653000.0,2.5,2680,8,2480
169,371500.0,2.0,1370,7,1770
170,284000.0,1.75,1560,7,1070
171,272000.0,1.75,2160,7,1930
172,313000.0,1.5,1340,7,1480
173,917500.0,2.5,3880,10,3740
174,673000.0,2.25,2590,8,2260
175,425000.0,2.5,1120,8,1590
176,399950.0,2.75,1970,7,1280
177,385000.0,1.0,1220,6,1200
178,269950.0,1.5,1950,7,1950
179,330000.0,1.0,1350,7,1540
180,260000.0,2.5,1670,7,1670
181,470000.0,3.0,2380,7,1410
182,589000.0,3.0,2440,7,2290
183,163500.0,1.5,1050,7,1050
184,835000.0,2.75,3130,9,2260
185,1095000.0,3.0,4090,10,2540
186,269000.0,1.75,1490,8,2190
187,560000.0,2.5,1900,8,2030
188,615000.0,1.0,1330,6,1330
189,585188.0,2.25,2230,8,2230
190,305000.0,1.75,1650,7,1540
191,166950.0,1.0,1190,6,1230
192,799000.0,2.5,2140,8,2680
193,400000.0,2.5,2180,7,1900
194,230000.0,1.0,1060,7,1570
195,256883.0,2.5,1690,8,2550
196,423000.0,2.0,1970,7,1500
197,465000.0,2.5,2150,8,1750
198,440000.0,2.5,1910,7,2330
199,385000.0,1.75,1350,7,1560
200,210000.0,1.0,860,6,1300
201,297000.0,2.5,1940,8,2030
202,470000.0,1.0,1010,7,1680
203,226500.0,1.5,1300,7,1430
204,274250.0,1.0,910,6,1400
205,840000.0,1.75,2480,9,2770
206,677900.0,2.5,2440,8,2750
207,425000.0,1.0,1010,7,1290
208,180250.0,0.75,900,6,1250
209,464000.0,3.0,2300,7,1560
210,320000.0,2.25,1550,8,1630
211,625504.0,2.25,1270,8,1160
212,592500.0,2.5,2240,9,2520
213,465000.0,2.5,2714,9,2590
214,477000.0,2.75,1720,8,2130
215,280000.0,1.0,850,6,1100
216,1505000.0,3.0,3300,9,3836
217,445838.0,2.5,2250,8,1320
218,1072000.0,2.25,3900,8,2580
219,467000.0,1.5,1320,8,2120
220,686000.0,2.5,2760,10,3070
221,279950.0,2.0,1750,7,1900
222,527000.0,2.25,2330,8,1910
223,325000.0,2.25,2220,8,2080
224,328000.0,2.25,2020,7,2020
225,390000.0,2.25,1250,7,1280
226,479950.0,2.0,1510,8,1640
227,264950.0,2.25,1720,7,1510
228,235000.0,1.0,1430,7,1960
229,516500.0,2.5,1480,7,2250
230,655000.0,1.75,1450,7,2030
231,500000.0,2.75,2280,7,2280
232,315000.0,2.75,2940,8,2120
233,213000.0,1.0,1000,6,1150
234,475000.0,1.5,2480,7,2090
235,1025000.0,4.0,3760,10,3430
236,416000.0,2.0,2220,7,2070
237,410000.0,1.0,1970,7,1510
238,800000.0,3.5,3830,10,2920
239,472000.0,2.5,4410,9,2600
240,225000.0,1.75,1430,7,1190
241,210000.0,1.0,830,6,830
242,455000.0,1.0,1430,7,1450
243,225000.0,1.0,1300,6,1260
244,480000.0,1.0,1030,7,1390
245,363000.0,2.5,2740,9,2570
246,2400000.0,2.5,3650,9,3120
247,181000.0,1.5,720,6,1150
248,250000.0,2.0,2010,7,2010
249,481000.0,1.75,1560,6,1390
250,260000.0,2.0,1810,7,1750
251,455000.0,2.5,3360,9,3060
252,415000.0,2.25,1510,8,1730
253,349500.0,1.0,1400,7,1620
254,245000.0,2.5,1730,7,1630
255,592500.0,2.0,1420,7,1420
256,385000.0,1.75,2360,7,1910
257,315000.0,1.75,1580,7,1550
258,255000.0,1.0,1230,7,1380
259,693000.0,2.5,2460,8,2990
260,780000.0,1.0,1660,8,1660
261,237000.0,1.75,1270,7,1600
262,525000.0,2.25,2100,10,2380
263,425000.0,1.0,770,5,1330
264,369900.0,0.75,760,5,1230
265,290000.0,2.5,1700,7,1950
266,285000.0,1.0,1120,7,1130
267,415000.0,1.0,1070,7,1320
268,272500.0,2.5,2070,8,2070
269,2900000.0,3.25,5050,11,3890
270,1365000.0,4.75,5310,11,4180
271,436000.0,1.0,1040,7,1440
272,210000.0,1.0,1700,7,1350
273,236000.0,1.0,1300,7,1320
274,331000.0,1.75,1080,7,1440
275,365000.0,2.5,2653,8,2653
276,450000.0,2.0,2290,8,1660
277,770000.0,2.75,3820,9,1860
278,455000.0,2.5,2210,8,2670
279,405000.0,1.75,2390,6,2020
280,304900.0,1.75,2600,7,1720
281,170000.0,1.0,860,6,1650
282,2050000.0,3.0,3830,9,3050
283,780000.0,2.5,3500,9,3920
284,330000.0,3.0,2420,8,2570
285,370000.0,2.5,2720,9,2410
286,467000.0,2.25,2500,7,2300
287,405000.0,1.75,1670,7,1670
288,675000.0,2.25,2900,8,2310
289,500000.0,1.0,1640,7,1520
290,389999.0,2.5,1890,7,2410
291,630000.0,1.75,2950,8,2120
292,360000.0,2.5,2160,9,2280
293,580000.0,3.0,3280,8,2320
294,550000.0,2.0,1970,8,2390
295,879000.0,2.5,3360,10,3150
296,265000.0,2.0,1320,7,1740
297,446500.0,2.5,2650,8,2400
298,404000.0,1.5,2030,7,2140
299,267500.0,1.75,1590,7,1630
300,3075000.0,5.0,4550,10,4550
301,335000.0,2.5,2440,8,2510
302,576000.0,2.5,1940,7,2190
303,208633.0,2.5,2040,8,2370
304,315000.0,2.25,2200,7,1460
305,725000.0,1.75,1920,8,1740
306,550000.0,2.75,1800,8,1800
307,610750.0,2.25,2180,8,2250
308,550700.0,1.0,1010,6,1460
309,665000.0,2.75,3320,8,2720
310,834000.0,2.5,2370,8,2440
311,201000.0,1.75,1660,6,1660
312,2384000.0,2.5,3650,10,2880
313,1384000.0,3.25,4290,11,3860
314,1400000.0,3.25,4290,11,3860
315,305000.0,2.25,1950,8,2150
316,487000.0,2.0,2590,8,1570
317,390000.0,2.5,1930,8,2350
318,548000.0,1.0,1470,7,1570
319,268750.0,1.0,800,6,1310
320,819900.0,2.75,3150,9,1560
321,520000.0,2.25,2030,8,2660
322,230000.0,2.0,1450,7,1520
323,240000.0,1.75,1510,7,1510
324,232000.0,1.0,1240,6,1820
325,240500.0,1.0,1240,6,1820
326,274975.0,2.5,3030,9,3080
327,740000.0,2.0,2050,9,2320
328,186375.0,1.0,1000,7,1150
329,790000.0,2.25,2370,9,2500
330,880000.0,3.5,2800,9,2370
331,279000.0,1.75,2240,7,1590
332,295000.0,2.0,1810,8,1910
333,640000.0,1.0,1070,7,1710
334,940000.0,2.0,2490,9,2770
335,260000.0,2.5,1960,7,1800
336,559900.0,2.75,2930,9,2580
337,791500.0,2.0,1510,7,1820
338,265000.0,1.75,1420,7,1740
339,245000.0,1.75,1740,7,880
340,485000.0,1.75,2560,7,2560
341,684000.0,3.5,3040,9,3470
342,425000.0,1.75,2500,8,1580
343,309600.0,1.75,1275,6,1660
344,552250.0,2.5,2580,8,2380
345,165000.0,1.0,1000,6,1020
346,239900.0,1.0,1000,6,1020
347,320000.0,1.0,1070,6,1360
348,206600.0,2.0,1390,7,1720
349,387000.0,1.75,2500,7,2040
350,299000.0,0.75,560,4,1300
351,855000.0,2.75,2270,9,2610
352,315000.0,1.0,1900,7,1940
353,437500.0,1.0,990,7,1930
354,252000.0,1.5,1550,7,1640
355,375000.0,1.75,2200,7,1600
356,300000.0,2.5,1910,7,2010
357,420000.0,1.0,1750,7,1750
358,900000.0,1.0,1330,7,1340
359,679900.0,2.5,2440,9,1520
360,463000.0,2.5,1640,7,1580
361,380000.0,2.5,2760,9,2470
362,329500.0,2.5,1820,7,1820
363,604950.0,2.5,2110,8,2040
364,795000.0,2.5,3040,8,2920
365,465000.0,2.0,1840,7,1380
366,673000.0,2.5,2990,9,2140
367,810000.0,2.5,3520,10,3400
368,785000.0,2.75,2440,8,2770
369,338000.0,3.0,2090,7,1810
370,280000.0,2.25,1430,7,1430
371,315000.0,2.25,2180,7,1810
372,530000.0,2.25,2180,7,1810
373,380000.0,3.0,3450,9,2860
374,297000.0,2.25,1450,7,1650
375,730000.0,2.5,3230,10,3480
376,450000.0,1.75,1640,7,1770
377,275000.0,3.0,1590,7,1680
378,595000.0,2.0,2020,7,1910
379,435000.0,1.5,1300,7,1590
380,270000.0,1.5,1380,6,3130
381,950000.0,3.0,4040,10,3360
382,389000.0,2.25,2130,7,2300
383,560000.0,2.25,2550,8,2420
384,1350000.0,3.5,4800,11,4050
385,799000.0,2.25,2510,8,2450
386,365500.0,2.0,1410,7,1410
387,252350.0,2.0,1650,7,1710
388,403950.0,2.5,2120,8,1880
389,385000.0,1.5,2040,7,1610
390,345000.0,1.0,1550,7,1450
391,490000.0,2.75,1980,9,1950
392,330000.0,2.5,1600,8,1790
393,927000.0,2.75,3300,8,3180
394,1118000.0,2.5,3840,10,3600
395,330000.0,1.0,1220,7,2000
396,530000.0,2.25,2720,7,2110
397,365000.0,2.0,1940,8,2000
398,378750.0,2.5,2160,7,1060
399,269900.0,1.75,1530,7,1390
400,557000.0,3.5,1710,8,1630
401,360000.0,1.75,3730,7,1880
402,352000.0,1.0,940,7,1560
403,437000.0,2.5,1750,8,2430
404,322500.0,2.5,1820,7,1820
405,650000.0,3.25,1510,9,1510
406,450000.0,2.0,1290,8,1290
407,278500.0,2.0,1570,7,1570
408,364950.0,2.5,1930,8,2090
409,840000.0,3.5,2840,10,3180
410,268000.0,2.5,1550,7,1550
411,517534.0,1.0,833,5,1380
412,632925.0,2.5,2990,8,2990
413,577500.0,2.5,2000,9,2450
414,339000.0,1.5,2390,7,2850
415,570000.0,1.75,2910,7,2520
416,563500.0,1.75,2085,7,2690
417,423000.0,2.25,2200,7,1910
418,355000.0,2.25,1860,8,2320
419,1550000.0,4.25,6070,12,4680
420,482000.0,1.0,950,7,1320
421,625000.0,1.75,1600,7,1580
422,538000.0,2.5,2250,8,2360
423,380000.0,2.5,2280,8,2310
424,375000.0,1.0,940,7,1300
425,245000.0,2.5,1530,7,1850
426,310000.0,1.75,2190,7,1620
427,1300000.0,2.0,2350,8,3530
428,397000.0,2.0,1440,7,1460
429,365000.0,2.5,2200,8,2310
430,328500.0,3.0,2290,9,2290
431,988000.0,3.0,4040,11,3930
432,1000000.0,2.5,2610,8,1810
433,237000.0,2.5,1490,7,1490
434,525000.0,2.5,2450,8,2300
435,749000.0,2.5,1710,9,2140
436,722500.0,2.5,4870,10,3180
437,843000.0,2.5,3130,10,2860
438,438000.0,2.0,1270,8,1610
439,578000.0,1.75,2120,8,2460
440,227950.0,1.5,1670,7,2077
441,196000.0,2.25,2070,7,1890
442,641000.0,1.0,1420,8,2400
443,350000.0,1.5,1250,6,1930
444,205000.0,1.0,940,7,1150
445,400000.0,1.75,1920,7,1920
446,1030000.0,2.5,3545,10,3630
447,505000.0,2.0,1260,7,1510
448,475000.0,2.5,2340,7,1930
449,520000.0,2.25,2590,8,2580
450,1450000.0,4.5,3970,10,2610
451,333500.0,1.75,1220,7,1630
452,232000.0,1.0,1400,6,1230
453,691100.0,2.75,2360,8,2120
454,811000.0,1.75,1870,8,1900
455,551000.0,2.5,2830,9,2500
456,496500.0,2.5,2260,8,2350
457,705000.0,3.0,1970,9,2280
458,578000.0,2.5,3140,9,2460
459,255000.0,1.75,1240,7,1490
460,1050000.0,3.5,3450,10,3220
461,348000.0,2.25,2570,8,2400
462,230000.0,2.0,1510,7,1570
463,359500.0,2.25,2390,9,2480
464,330000.0,1.0,980,6,1220
465,80000.0,0.75,430,4,1200
466,465000.0,1.75,1480,7,1480
467,325000.0,2.5,1850,8,2100
468,340500.0,2.0,2270,7,1770
469,342500.0,2.5,1810,8,1810
470,290900.0,2.0,1610,6,1310
471,868700.0,4.25,3840,10,3230
472,1199000.0,2.75,4110,9,2820
473,1150000.0,3.25,4190,11,4300
474,859900.0,2.75,3390,9,3390
475,520000.0,2.25,1890,7,1580
476,460000.0,2.5,1610,9,1610
477,438924.0,1.5,1050,7,1770
478,315000.0,1.0,630,5,1420
479,590000.0,2.75,2910,8,2920
480,378500.0,1.75,1700,7,1620
481,328500.0,2.5,1950,9,2350
482,849950.0,3.0,2990,8,2230
483,525000.0,1.5,1350,7,1730
484,1385000.0,3.25,4860,9,3850
485,295000.0,2.5,2160,8,2060
486,1067000.0,3.5,4860,11,3600
487,207950.0,2.0,890,6,1860
488,699900.0,2.75,2810,9,2820
489,1280000.0,2.5,3400,8,3080
490,452000.0,1.5,1580,7,1560
491,370000.0,2.0,1680,7,1680
492,232000.0,1.75,1300,7,1300
493,669950.0,2.5,2820,7,1910
494,397500.0,2.0,1510,7,1660
495,490000.0,2.5,1230,8,1240
496,725000.0,2.0,2110,9,1440
497,299000.0,2.75,3080,7,2424
498,625000.0,1.5,1490,7,1590
499,437500.0,2.5,2120,7,2530
500,650000.0,2.5,3180,9,3030
501,475000.0,1.0,1490,7,1460
502,342000.0,2.0,1930,8,2200
503,1197350.0,2.5,2770,10,2720
504,280000.0,1.5,1670,7,1930
505,240000.0,1.75,1330,7,1450
506,529000.0,1.0,1210,7,1640
507,442000.0,1.0,1190,7,1690
508,615000.0,1.0,1540,7,1420
509,1485000.0,3.75,4030,10,2160
510,585000.0,1.75,2430,8,1980
511,480000.0,2.5,2600,8,2830
512,1095000.0,3.5,4410,9,2900
513,290000.0,1.0,1330,7,1220
514,615000.0,1.75,1900,7,1770
515,300000.0,1.0,1100,7,1460
516,308000.0,1.0,1980,6,1860
517,750000.0,2.5,2400,9,2080
518,2250000.0,2.25,4760,9,2950
519,890000.0,3.25,3180,10,2200
520,288000.0,1.0,1190,6,1190
521,190000.0,1.0,630,6,1470
522,515000.0,3.0,2530,8,2290
523,235000.0,1.5,1690,5,1690
524,275000.0,1.0,940,6,940
525,727500.0,2.0,1240,7,1380
526,650000.0,2.5,3040,7,2740
527,1600000.0,5.0,6050,11,4210
528,365000.0,1.0,1590,6,1320
529,662000.0,1.75,2500,9,2590
530,270500.0,2.5,1780,7,1680
531,200000.0,1.5,1360,7,1360
532,970000.0,3.25,4740,10,3340
533,160000.0,1.5,1010,7,1400
534,204000.0,1.0,1040,6,1580
535,358000.0,2.25,1610,7,1780
536,452000.0,1.75,1570,7,1870
537,595000.0,2.0,1510,7,1920
538,249000.0,2.0,1360,7,1360
539,346900.0,2.5,1970,8,2230
540,2125000.0,2.5,5403,12,3980
541,280000.0,2.5,1560,7,1560
542,318888.0,1.75,2320,8,2120
543,530000.0,2.25,2120,8,2480
544,375000.0,2.25,2120,8,2120
545,910000.0,2.5,3350,11,3920
546,782000.0,2.5,2380,10,2560
547,259950.0,2.0,1070,9,1070
548,315000.0,2.75,2300,7,1870
549,215000.0,1.0,1320,6,1190
550,705000.0,1.75,2180,7,2180
551,1450000.0,3.0,4380,10,3080
552,451000.0,1.75,1790,7,1520
553,261000.0,1.0,750,6,1340
554,396000.0,1.5,1300,7,1570
555,725000.0,2.5,2990,9,3715
556,1950000.0,3.5,4640,11,3230
557,238000.0,1.0,1400,7,1310
558,750000.0,1.75,2750,8,2040
559,331500.0,2.5,2050,7,2050
560,460000.0,3.0,2230,7,1960
561,404950.0,2.25,2340,8,2340
562,880000.0,2.5,2870,9,1630
563,863000.0,2.5,4120,10,3180
564,638700.0,1.75,2080,7,1870
565,435000.0,2.5,1840,7,1600
566,260000.0,1.0,1180,6,1490
567,671500.0,2.75,2160,7,2040
568,610000.0,1.0,1180,8,1440
569,405000.0,0.75,1160,6,1870
570,338900.0,2.5,1830,7,1830
571,720000.0,4.0,3200,10,3480
572,442000.0,3.0,2560,7,1080
573,650000.0,2.75,2550,8,1590
574,263500.0,1.75,1330,7,1330
575,300000.0,1.0,1220,7,2010
576,266000.0,2.5,1805,7,2095
577,930000.0,4.0,6050,9,2700
578,530000.0,2.5,2320,8,2450
579,180000.0,1.0,1384,6,1000
580,619000.0,2.5,2720,9,3180
581,264000.0,1.5,1820,7,1380
582,730000.0,2.25,2130,7,2130
583,439000.0,2.25,2060,7,2060
584,268500.0,1.75,1420,7,1500
585,330000.0,1.75,1510,7,1470
586,640000.0,2.5,2160,8,2160
587,900000.0,2.5,3180,11,3030
588,370000.0,2.25,2110,8,2470
589,685000.0,2.0,2060,8,1910
590,505000.0,1.5,1830,7,2450
591,265000.0,1.75,1820,7,2050
592,290000.0,2.5,1610,8,1610
593,296000.0,2.5,1780,7,2020
594,360000.0,2.5,1840,7,1830
595,240500.0,1.75,1460,7,1220
596,372500.0,2.5,1400,8,1540
597,595000.0,2.5,3370,9,3330
598,515000.0,3.0,3590,9,2860
599,1220000.0,2.25,3200,9,3070
600,507000.0,1.75,1670,8,2170
601,399950.0,2.0,2420,9,2560
602,185000.0,1.75,1430,7,1560
603,460000.0,1.75,1440,7,1440
604,435500.0,2.25,1450,7,1560
605,469000.0,2.75,3550,8,2050
606,531000.0,3.0,1270,8,1290
607,443500.0,1.0,940,7,1150
608,223000.0,2.0,1670,7,1660
609,590000.0,3.5,3100,8,2200
610,340000.0,2.5,1100,7,1200
611,650000.0,2.0,1870,8,1780
612,533600.0,2.5,1930,8,2190
613,695000.0,2.75,2540,9,2600
614,242000.0,1.75,1280,7,1500
615,425000.0,2.25,1820,7,1810
616,525000.0,2.25,1490,7,1290
617,485000.0,2.5,1880,8,2040
618,175000.0,1.0,1250,7,1390
619,210000.0,2.0,1440,8,1700
620,260000.0,2.5,1920,7,1930
621,577000.0,2.5,2060,7,1920
622,200000.0,1.5,1210,7,1408
623,605000.0,1.75,1760,7,1530
624,325000.0,1.0,990,6,1440
625,289500.0,1.0,960,6,1200
626,559950.0,2.5,1660,9,1660
627,1042500.0,1.75,1900,8,2760
628,543500.0,2.25,1270,7,1920
629,480000.0,2.25,3250,9,3110
630,218000.0,1.0,960,6,1080
631,565000.0,1.75,1330,7,1620
632,426700.0,1.75,2080,7,1680
633,650000.0,2.5,2690,8,2390
634,542000.0,1.0,890,7,1760
635,415000.0,1.75,1070,7,1200
636,214000.0,1.0,1200,6,1200
637,245000.0,1.5,1360,7,1220
638,314500.0,2.0,2050,8,2180
639,1120000.0,1.5,3000,9,1820
640,378000.0,2.0,1300,7,950
641,305000.0,2.5,2250,7,1540
642,595000.0,2.75,3740,8,2620
643,729500.0,2.5,1660,9,1510
644,430000.0,2.5,2360,7,2360
645,240000.0,1.75,1760,7,1760
646,545000.0,1.75,1680,7,1680
647,530000.0,1.75,1320,7,1580
648,157000.0,1.0,870,6,1250
649,425000.0,1.0,1260,6,1170
650,220000.0,1.0,1000,6,1300
651,521000.0,1.75,2020,8,2520
652,325000.0,1.0,1920,7,2000
653,597500.0,2.0,2150,7,1940
654,337000.0,2.5,1470,7,1490
655,1000000.0,2.5,3180,10,3000
656,3070000.0,2.5,3930,8,2730
657,495000.0,1.0,990,6,1250
658,748000.0,3.5,2770,8,2180
659,888000.0,1.5,1250,7,1750
660,269900.0,1.75,1140,7,1150
661,496500.0,2.5,2250,7,2090
662,475000.0,2.5,1640,7,1880
663,312000.0,1.5,1255,7,1307
664,323000.0,1.0,1290,7,1390
665,331000.0,1.75,1300,7,1890
666,306000.0,1.5,1220,8,1220
667,655000.0,2.5,2630,8,1640
668,290000.0,1.5,1950,8,1940
669,1250000.0,3.25,3160,9,2220
670,460000.0,1.75,1550,7,1880
671,435000.0,2.5,1700,7,1380
672,664000.0,2.75,2510,8,2390
673,865000.0,1.75,1800,8,2180
674,385000.0,1.75,1800,8,1800
675,497000.0,2.25,1870,7,2230
676,280000.0,1.0,1010,7,1150
677,188000.0,1.5,1120,6,1690
678,478500.0,1.0,2090,8,1850
679,1145000.0,3.5,4370,11,4190
680,222000.0,2.0,1440,7,1440
681,799000.0,3.0,2580,8,3440
682,609900.0,2.5,3190,10,3250
683,413000.0,3.5,2380,7,1620
684,400000.0,1.0,1420,7,1110
685,802541.0,2.75,2990,9,2870
686,320000.0,2.5,2680,8,2430
687,507000.0,2.5,2730,7,2730
688,387500.0,1.0,1220,6,1490
689,396000.0,1.0,1500,7,1820
690,373000.0,1.75,1830,8,2140
691,1484900.0,2.5,4570,10,3180
692,359900.0,2.25,2470,8,2330
693,410000.0,1.0,800,6,1210
694,690000.0,2.5,2900,9,2900
695,245000.0,2.0,1410,7,1670
696,700000.0,2.5,2830,8,2670
697,268000.0,1.75,1680,7,2400
698,225000.0,1.75,1760,7,1350
699,980000.0,2.25,2240,8,2300
700,795000.0,1.0,1380,5,1500
701,195000.0,1.0,820,6,1170
702,480000.0,2.0,2180,6,2180
703,485000.0,2.0,1400,7,1630
704,130000.0,1.0,880,5,1410
705,325000.0,1.0,1060,6,2240
706,440000.0,1.75,1530,7,1530
707,550000.0,1.75,2480,8,2910
708,310000.0,1.75,1490,6,1350
709,530000.0,2.5,3660,9,2700
710,390000.0,2.5,2340,8,1970
711,243000.0,1.75,1450,7,1210
712,639000.0,2.5,2210,9,2440
713,215000.0,1.0,1130,7,1540
714,405000.0,1.75,1550,7,1420
715,250000.0,1.75,1710,7,1770
716,405500.0,1.5,1010,7,1300
717,452000.0,2.25,2660,7,1120
718,730000.0,2.25,2660,7,1120
719,267000.0,2.0,1300,7,1430
720,289950.0,2.5,1670,7,2390
721,565000.0,1.0,960,7,1300
722,1578000.0,3.25,4670,12,4230
723,636000.0,2.5,2140,8,2510
724,350000.0,3.0,2520,8,1700
725,320000.0,1.5,1650,7,1720
726,210000.0,1.75,1440,8,1320
727,245000.0,1.0,1050,7,1280
728,328000.0,1.75,1470,7,1590
729,985000.0,2.25,4230,11,3890
730,501000.0,1.75,1970,8,2460
731,315000.0,2.25,1540,7,1560
732,403000.0,2.75,2090,8,2280
733,550000.0,2.0,2380,8,2030
